country_code	country	age	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
270	Gambia	20	2.919	3.006	3.1	3.19	3.259	3.304	3.363	3.416	3.475	3.555	3.667	3.777	3.892	4.03	4.181	4.32	4.425	4.464	4.384	4.098	3.839	4.285	4.459	4.637	4.819	5.066	5.338	5.638	5.974	6.334	6.643	6.961	7.277	7.593	7.938	8.224	8.526	8.826	9.169	9.501	9.912	10.322	10.826	11.201	11.307	11.299	11.312	11.378	11.564	12.014	12.52	13.099	13.679	14.317	14.987	15.722	16.364	17.091	17.762	18.476	19.254	20.068	20.764	21.404	22.012	22.722	23.13	23.413	23.711	24.142	24.508	24.931	25.451	25.988	26.657
270	Gambia	21	2.837	2.938	3.024	3.118	3.207	3.275	3.32	3.379	3.432	3.491	3.57	3.682	3.791	3.906	4.043	4.194	4.332	4.437	4.483	4.406	4.123	3.866	4.311	4.485	4.662	4.907	5.17	5.464	5.786	6.143	6.522	6.846	7.171	7.5	7.861	8.159	8.466	8.786	9.107	9.472	9.822	10.248	10.667	11.091	11.215	11.229	11.2	11.211	11.275	11.458	11.903	12.404	12.977	13.551	14.195	14.864	15.606	16.256	16.988	17.659	18.37	19.142	19.957	20.653	21.288	21.89	22.59	22.994	23.275	23.569	23.996	24.407	24.83	25.33	25.868
270	Gambia	22	2.774	2.858	2.958	3.044	3.137	3.225	3.293	3.338	3.396	3.45	3.508	3.587	3.698	3.807	3.921	4.058	4.208	4.345	4.457	4.504	4.43	4.149	3.896	4.339	4.513	4.748	5.01	5.293	5.609	5.951	6.327	6.721	7.05	7.389	7.761	8.063	8.381	8.706	9.044	9.385	9.768	10.134	10.567	10.912	11.106	11.135	11.126	11.095	11.104	11.165	11.345	11.784	12.28	12.848	13.427	14.071	14.747	15.498	16.153	16.884	17.553	18.258	19.031	19.845	20.536	21.164	21.757	22.453	22.852	23.129	23.419	23.892	24.304	24.707	25.207
270	Gambia	23	2.723	2.796	2.879	2.978	3.063	3.156	3.244	3.311	3.355	3.414	3.467	3.526	3.604	3.715	3.824	3.937	4.073	4.222	4.366	4.479	4.528	4.454	4.177	3.927	4.368	4.595	4.846	5.126	5.431	5.767	6.127	6.517	6.914	7.258	7.637	7.94	8.26	8.592	8.934	9.291	9.648	10.045	10.417	10.783	10.928	11.024	11.03	11.019	10.986	10.993	11.051	11.226	11.659	12.15	12.723	13.303	13.953	14.639	15.394	16.051	16.778	17.441	18.147	18.919	19.728	20.412	21.03	21.619	22.31	22.705	22.978	23.316	23.789	24.179	24.583
270	Gambia	24	2.668	2.744	2.816	2.899	2.998	3.082	3.174	3.261	3.328	3.373	3.431	3.484	3.543	3.621	3.731	3.839	3.952	4.087	4.243	4.387	4.501	4.55	4.479	4.205	3.959	4.444	4.684	4.954	5.255	5.578	5.93	6.303	6.698	7.107	7.489	7.788	8.106	8.439	8.786	9.144	9.515	9.883	10.286	10.6	10.798	10.845	10.918	10.922	10.909	10.874	10.878	10.932	11.102	11.53	12.026	12.6	13.187	13.847	14.537	15.293	15.946	16.667	17.332	18.037	18.804	19.605	20.28	20.892	21.477	22.162	22.553	22.875	23.212	23.664	24.055
270	Gambia	25	2.61	2.688	2.764	2.835	2.917	3.015	3.099	3.19	3.277	3.344	3.388	3.446	3.5	3.558	3.636	3.745	3.853	3.965	4.107	4.264	4.408	4.522	4.572	4.502	4.233	4.027	4.524	4.781	5.069	5.387	5.726	6.089	6.466	6.872	7.316	7.61	7.922	8.251	8.598	8.957	9.327	9.707	10.081	10.433	10.612	10.716	10.74	10.81	10.812	10.797	10.76	10.76	10.81	10.975	11.409	11.906	12.487	13.083	13.748	14.438	15.19	15.838	16.559	17.223	17.924	18.682	19.474	20.144	20.751	21.33	22.011	22.452	22.77	23.087	23.54
270	Gambia	26	2.566	2.629	2.706	2.781	2.852	2.933	3.03	3.114	3.204	3.291	3.357	3.402	3.46	3.513	3.571	3.649	3.758	3.865	3.983	4.126	4.282	4.428	4.541	4.592	4.525	4.288	4.098	4.608	4.882	5.184	5.515	5.864	6.231	6.618	7.055	7.407	7.712	8.034	8.373	8.73	9.099	9.477	9.862	10.194	10.443	10.53	10.611	10.633	10.701	10.702	10.684	10.643	10.639	10.685	10.858	11.293	11.796	12.386	12.986	13.652	14.338	15.085	15.732	16.452	17.112	17.805	18.555	19.341	20.006	20.608	21.182	21.913	22.347	22.646	22.964
270	Gambia	27	2.465	2.582	2.645	2.721	2.796	2.866	2.947	3.043	3.126	3.216	3.302	3.368	3.413	3.471	3.524	3.582	3.659	3.767	3.88	4	4.142	4.299	4.444	4.558	4.609	4.566	4.343	4.169	4.69	4.978	5.292	5.632	5.983	6.359	6.773	7.117	7.477	7.789	8.118	8.466	8.831	9.204	9.587	9.938	10.201	10.361	10.427	10.506	10.526	10.592	10.591	10.569	10.524	10.518	10.57	10.744	11.186	11.698	12.291	12.893	13.554	14.236	14.982	15.628	16.344	16.996	17.681	18.425	19.206	19.866	20.462	21.086	21.808	22.225	22.525
270	Gambia	28	2.317	2.48	2.596	2.658	2.734	2.807	2.877	2.957	3.053	3.135	3.225	3.31	3.377	3.421	3.479	3.532	3.59	3.667	3.781	3.894	4.013	4.157	4.312	4.458	4.572	4.637	4.603	4.395	4.236	4.766	5.063	5.384	5.726	6.084	6.483	6.807	7.156	7.521	7.838	8.175	8.528	8.896	9.272	9.629	9.942	10.121	10.26	10.324	10.401	10.42	10.483	10.479	10.453	10.406	10.406	10.459	10.642	11.092	11.608	12.201	12.799	13.455	14.137	14.881	15.524	16.231	16.876	17.555	18.294	19.07	19.725	20.368	20.983	21.688	22.106
270	Gambia	29	2.161	2.329	2.49	2.606	2.667	2.742	2.815	2.885	2.964	3.059	3.141	3.23	3.315	3.381	3.426	3.483	3.536	3.594	3.677	3.791	3.904	4.025	4.167	4.323	4.469	4.587	4.658	4.635	4.44	4.293	4.828	5.13	5.453	5.801	6.176	6.49	6.817	7.17	7.537	7.858	8.197	8.554	8.923	9.283	9.63	9.863	10.022	10.16	10.221	10.298	10.314	10.373	10.366	10.338	10.297	10.299	10.36	10.551	11.005	11.521	12.111	12.705	13.359	14.04	14.78	15.415	16.115	16.755	17.429	18.163	18.935	19.632	20.268	20.867	21.572
