country_code	country	age	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
270	Gambia	28	22.451	22.806	23.3	23.713	24.139	24.648	25.164	25.813	26.682	27.587	28.703	29.46	30.21	31.108	32.156	33.233	34.395	34.896	34.913	34.858	34.734	34.537	34.283	34.767	35.26	35.78	36.227	36.729	36.919	37.046	37.151	37.247	37.343	37.433	37.541	37.657	37.789	37.962	38.115	38.266	38.407	38.582	38.748	38.879	38.984	39.087	39.191	39.233	39.239	39.227	39.234	39.264	39.2	39.111	39.063	38.994	38.905	38.82	38.673	38.586	38.521	38.424	38.348	38.28	38.208	38.133	37.985	37.876	37.764	37.677	37.483	37.379	37.258	37.139	37.083	36.935	36.818
270	Gambia	29	21.99	22.332	22.69	23.183	23.601	24.024	24.531	25.05	25.703	26.57	27.472	28.587	29.345	30.094	30.999	32.04	33.117	34.271	34.78	34.797	34.742	34.622	34.425	34.176	34.659	35.153	35.674	36.121	36.623	36.811	36.952	37.05	37.148	37.248	37.337	37.452	37.573	37.712	37.883	38.033	38.188	38.334	38.503	38.663	38.802	38.903	39.007	39.107	39.151	39.168	39.155	39.163	39.189	39.131	39.046	38.993	38.925	38.839	38.753	38.609	38.527	38.466	38.364	38.297	38.231	38.157	38.079	37.928	37.827	37.719	37.621	37.434	37.335	37.217	37.102	37.052	36.895
270	Gambia	30	21.423	21.876	22.22	22.577	23.074	23.49	23.912	24.421	24.945	25.596	26.46	27.363	28.477	29.233	29.988	30.888	31.929	32.998	34.158	34.665	34.682	34.63	34.51	34.318	34.07	34.554	35.05	35.57	36.017	36.516	36.717	36.852	36.952	37.055	37.153	37.248	37.368	37.496	37.633	37.801	37.956	38.115	38.255	38.419	38.586	38.722	38.824	38.924	39.026	39.08	39.096	39.084	39.088	39.12	39.066	38.976	38.924	38.858	38.772	38.688	38.55	38.472	38.406	38.312	38.247	38.179	38.103	38.022	37.878	37.781	37.664	37.573	37.39	37.292	37.179	37.071	37.012
270	Gambia	31	20.56	21.312	21.766	22.11	22.472	22.966	23.381	23.805	24.318	24.841	25.49	26.354	27.256	28.368	29.13	29.88	30.78	31.814	32.889	34.044	34.55	34.57	34.518	34.402	34.211	33.966	34.451	34.947	35.467	35.912	36.422	36.616	36.753	36.857	36.958	37.063	37.162	37.289	37.414	37.55	37.722	37.881	38.035	38.171	38.34	38.505	38.641	38.74	38.842	38.953	39.007	39.023	39.008	39.017	39.053	38.994	38.906	38.856	38.79	38.706	38.627	38.492	38.41	38.352	38.26	38.193	38.124	38.045	37.971	37.83	37.724	37.614	37.526	37.346	37.252	37.145	37.029
270	Gambia	32	19.823	20.453	21.205	21.659	22.007	22.367	22.86	23.276	23.704	24.216	24.737	25.387	26.251	27.151	28.266	29.024	29.774	30.667	31.706	32.777	33.929	34.436	34.456	34.408	34.293	34.105	33.863	34.348	34.843	35.361	35.816	36.319	36.516	36.657	36.759	36.866	36.975	37.081	37.205	37.329	37.468	37.644	37.798	37.948	38.09	38.257	38.422	38.555	38.656	38.766	38.877	38.931	38.945	38.934	38.948	38.978	38.921	38.835	38.785	38.721	38.642	38.566	38.428	38.353	38.297	38.203	38.135	38.063	37.99	37.919	37.771	37.671	37.564	37.479	37.302	37.215	37.1
270	Gambia	33	19.061	19.72	20.351	21.101	21.558	21.904	22.263	22.757	23.177	23.604	24.115	24.636	25.286	26.148	27.052	28.162	28.92	29.664	30.562	31.597	32.665	33.816	34.321	34.345	34.297	34.185	34	33.76	34.244	34.737	35.264	35.713	36.218	36.417	36.557	36.664	36.775	36.89	36.994	37.118	37.245	37.387	37.559	37.709	37.865	38.004	38.172	38.334	38.469	38.577	38.687	38.798	38.85	38.869	38.861	38.871	38.902	38.847	38.761	38.713	38.654	38.578	38.499	38.367	38.294	38.237	38.142	38.072	38.005	37.936	37.858	37.715	37.619	37.514	37.432	37.261	37.167
270	Gambia	34	18.267	18.962	19.621	20.251	21.002	21.457	21.802	22.162	22.659	23.079	23.505	24.016	24.538	25.186	26.052	26.951	28.059	28.811	29.561	30.455	31.487	32.553	33.701	34.209	34.232	34.187	34.077	33.894	33.656	34.138	34.639	35.161	35.611	36.118	36.315	36.46	36.571	36.687	36.8	36.904	37.03	37.161	37.3	37.468	37.623	37.777	37.917	38.082	38.246	38.388	38.496	38.606	38.715	38.771	38.792	38.782	38.792	38.826	38.771	38.687	38.643	38.586	38.507	38.435	38.305	38.231	38.172	38.076	38.011	37.947	37.872	37.799	37.659	37.565	37.463	37.386	37.21
270	Gambia	35	17.373	18.171	18.866	19.524	20.155	20.903	21.357	21.703	22.066	22.562	22.98	23.407	23.918	24.439	25.092	25.952	26.85	27.953	28.709	29.455	30.347	31.378	32.441	33.588	34.094	34.12	34.077	33.969	33.787	33.549	34.039	34.535	35.057	35.51	36.014	36.216	36.364	36.48	36.595	36.707	36.814	36.943	37.071	37.206	37.379	37.533	37.687	37.825	37.992	38.162	38.303	38.412	38.52	38.633	38.691	38.71	38.7	38.712	38.746	38.693	38.613	38.572	38.512	38.44	38.369	38.238	38.163	38.103	38.012	37.949	37.88	37.809	37.74	37.602	37.511	37.414	37.332
270	Gambia	36	16.524	17.281	18.079	18.772	19.43	20.059	20.804	21.258	21.607	21.97	22.465	22.883	23.31	23.821	24.345	24.994	25.854	26.747	27.851	28.604	29.348	30.239	31.267	32.329	33.473	33.979	34.007	33.966	33.859	33.677	33.449	33.934	34.431	34.954	35.405	35.912	36.117	36.269	36.385	36.499	36.614	36.723	36.85	36.975	37.114	37.286	37.44	37.592	37.731	37.904	38.074	38.216	38.323	38.434	38.549	38.605	38.625	38.617	38.629	38.665	38.615	38.538	38.495	38.441	38.369	38.298	38.167	38.09	38.035	37.947	37.879	37.815	37.746	37.679	37.544	37.457	37.356
270	Gambia	37	15.744	16.436	17.192	17.987	18.68	19.336	19.962	20.707	21.163	21.511	21.873	22.368	22.787	23.213	23.726	24.248	24.896	25.751	26.646	27.746	28.497	29.24	30.128	31.156	32.215	33.356	33.863	33.892	33.852	33.745	33.572	33.341	33.827	34.325	34.847	35.3	35.809	36.019	36.17	36.284	36.401	36.519	36.626	36.75	36.879	37.017	37.189	37.342	37.495	37.64	37.812	37.983	38.123	38.233	38.347	38.459	38.516	38.537	38.53	38.544	38.583	38.536	38.456	38.418	38.366	38.294	38.222	38.09	38.019	37.966	37.873	37.81	37.748	37.681	37.617	37.486	37.395
