country_code	country	age	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
270	Gambia	20	2.848	2.934	3.032	3.126	3.194	3.228	3.288	3.35	3.41	3.491	3.604	3.718	3.848	4.001	4.175	4.344	4.488	4.566	4.511	4.164	3.983	4.269	4.446	4.624	4.798	4.969	5.161	5.367	5.595	5.835	6.078	6.337	6.585	6.858	7.144	7.526	7.913	8.294	8.708	9.119	9.506	9.89	10.373	10.751	10.92	10.997	11.129	11.319	11.616	12.068	12.577	13.154	13.729	14.354	15.023	15.748	16.382	17.087	17.757	18.483	19.272	20.098	20.812	21.483	22.121	22.877	23.313	23.631	23.96	24.43	24.824	25.275	25.823	26.371	27.057
270	Gambia	21	2.768	2.862	2.948	3.045	3.138	3.206	3.239	3.299	3.361	3.421	3.501	3.614	3.727	3.856	4.008	4.181	4.349	4.492	4.576	4.524	4.181	4.001	4.287	4.464	4.64	4.805	4.981	5.181	5.393	5.628	5.875	6.123	6.365	6.636	6.924	7.32	7.719	8.119	8.517	8.947	9.374	9.772	10.164	10.576	10.746	10.83	10.886	11.015	11.201	11.495	11.942	12.445	13.016	13.587	14.216	14.885	15.615	16.259	16.968	17.639	18.361	19.145	19.97	20.683	21.349	21.981	22.727	23.158	23.471	23.795	24.262	24.696	25.146	25.675	26.223
270	Gambia	22	2.697	2.783	2.877	2.962	3.058	3.15	3.218	3.251	3.31	3.371	3.432	3.511	3.623	3.736	3.864	4.015	4.187	4.354	4.503	4.587	4.537	4.199	4.021	4.306	4.483	4.642	4.812	4.994	5.2	5.419	5.659	5.911	6.139	6.405	6.69	7.093	7.505	7.916	8.333	8.747	9.191	9.63	10.034	10.358	10.572	10.653	10.714	10.767	10.892	11.076	11.365	11.806	12.304	12.87	13.446	14.075	14.75	15.488	16.137	16.847	17.514	18.231	19.015	19.839	20.546	21.205	21.827	22.567	22.993	23.3	23.622	24.131	24.564	24.994	25.523
270	Gambia	23	2.632	2.713	2.798	2.891	2.975	3.07	3.162	3.229	3.262	3.321	3.382	3.442	3.521	3.632	3.744	3.871	4.022	4.193	4.366	4.515	4.601	4.552	4.217	4.043	4.325	4.478	4.642	4.816	5.004	5.215	5.438	5.681	5.914	6.166	6.444	6.845	7.263	7.688	8.114	8.546	8.973	9.427	9.871	10.212	10.355	10.476	10.534	10.592	10.643	10.765	10.944	11.229	11.665	12.158	12.729	13.305	13.941	14.624	15.367	16.017	16.723	17.385	18.102	18.883	19.703	20.402	21.051	21.666	22.4	22.82	23.124	23.49	23.998	24.411	24.841
270	Gambia	24	2.58	2.649	2.729	2.814	2.906	2.989	3.083	3.174	3.24	3.274	3.332	3.393	3.453	3.532	3.642	3.753	3.88	4.03	4.205	4.379	4.529	4.613	4.566	4.236	4.064	4.313	4.469	4.637	4.815	5.005	5.22	5.446	5.671	5.925	6.185	6.583	6.998	7.427	7.865	8.304	8.748	9.184	9.644	10.029	10.208	10.259	10.356	10.412	10.467	10.515	10.634	10.809	11.089	11.52	12.019	12.59	13.172	13.818	14.506	15.249	15.896	16.596	17.259	17.973	18.749	19.56	20.25	20.892	21.502	22.228	22.644	22.996	23.358	23.845	24.259
270	Gambia	25	2.516	2.596	2.664	2.744	2.828	2.919	3.001	3.095	3.185	3.251	3.284	3.342	3.403	3.463	3.541	3.651	3.762	3.887	4.043	4.218	4.392	4.542	4.627	4.581	4.255	4.047	4.296	4.454	4.623	4.804	4.996	5.213	5.421	5.665	5.924	6.307	6.715	7.14	7.581	8.03	8.481	8.933	9.372	9.78	10.026	10.114	10.142	10.236	10.288	10.341	10.387	10.501	10.672	10.948	11.385	11.885	12.462	13.053	13.704	14.393	15.132	15.773	16.474	17.135	17.844	18.612	19.413	20.096	20.732	21.335	22.056	22.52	22.865	23.208	23.695
270	Gambia	26	2.466	2.532	2.611	2.679	2.758	2.841	2.932	3.013	3.106	3.195	3.261	3.294	3.352	3.413	3.472	3.55	3.659	3.769	3.9	4.057	4.232	4.405	4.554	4.641	4.596	4.226	4.022	4.27	4.429	4.598	4.779	4.972	5.171	5.396	5.642	6.027	6.42	6.836	7.271	7.722	8.18	8.637	9.092	9.485	9.777	9.934	9.998	10.024	10.115	10.165	10.214	10.258	10.368	10.536	10.819	11.256	11.763	12.349	12.944	13.595	14.28	15.014	15.655	16.354	17.011	17.712	18.47	19.263	19.941	20.571	21.169	21.937	22.391	22.718	23.063
270	Gambia	27	2.362	2.482	2.547	2.626	2.693	2.771	2.854	2.943	3.024	3.116	3.205	3.27	3.304	3.361	3.422	3.481	3.559	3.667	3.783	3.914	4.07	4.245	4.417	4.567	4.653	4.555	4.189	3.986	4.232	4.389	4.559	4.739	4.913	5.128	5.352	5.725	6.118	6.518	6.942	7.386	7.844	8.306	8.766	9.181	9.482	9.687	9.822	9.883	9.907	9.996	10.042	10.088	10.128	10.237	10.411	10.696	11.139	11.654	12.245	12.842	13.489	14.168	14.901	15.541	16.236	16.884	17.576	18.327	19.114	19.785	20.41	21.056	21.812	22.248	22.576
270	Gambia	28	2.217	2.377	2.496	2.561	2.639	2.705	2.782	2.864	2.953	3.033	3.125	3.213	3.278	3.311	3.369	3.429	3.488	3.566	3.68	3.795	3.926	4.082	4.257	4.429	4.578	4.603	4.505	4.14	3.938	4.179	4.334	4.501	4.665	4.852	5.063	5.417	5.797	6.195	6.602	7.033	7.482	7.945	8.408	8.834	9.178	9.396	9.578	9.711	9.769	9.791	9.876	9.92	9.963	10.001	10.116	10.292	10.583	11.036	11.555	12.148	12.74	13.382	14.061	14.792	15.428	16.115	16.754	17.439	18.185	18.964	19.63	20.302	20.935	21.672	22.11
270	Gambia	29	2.069	2.231	2.39	2.507	2.572	2.649	2.715	2.792	2.873	2.961	3.041	3.132	3.22	3.284	3.317	3.375	3.435	3.494	3.576	3.691	3.807	3.937	4.093	4.267	4.438	4.52	4.542	4.443	4.077	3.872	4.11	4.261	4.412	4.588	4.767	5.111	5.47	5.854	6.257	6.669	7.104	7.556	8.02	8.455	8.83	9.094	9.291	9.471	9.6	9.657	9.676	9.758	9.799	9.84	9.885	10.002	10.185	10.485	10.943	11.462	12.052	12.639	13.281	13.957	14.684	15.312	15.99	16.623	17.302	18.042	18.816	19.525	20.185	20.8	21.538
